Input File,Species,BIC,Kernel,Mean
simulations0,Species 1,775.288514494286,RationalQuadratic,Zero
simulations0,Species 2,293.34434292887363,RationalQuadratic,Zero
simulations0,Species 3,410.343959714797,RationalQuadratic,Zero
simulations1,Species 1,113.8937350224961,RationalQuadratic,Zero
simulations1,Species 2,452.0407400935722,RationalQuadratic,Zero
simulations1,Species 3,492.36140185391343,RationalQuadratic,Zero
simulations2,Species 1,778.0513054991704,RationalQuadratic,Zero
simulations2,Species 2,1063.3511191795617,RationalQuadratic,Zero
simulations2,Species 3,267.31141041362577,RationalQuadratic,Zero
simulations3,Species 1,883.4620163509728,RationalQuadratic,Zero
simulations3,Species 2,1042.3846296937256,RationalQuadratic,Zero
simulations3,Species 3,371.0552127890548,RationalQuadratic,Zero
simulations4,Species 1,821.0625843985571,Matern32,Zero
simulations4,Species 2,700.5749987993897,RationalQuadratic,Zero
simulations4,Species 3,475.17387237741883,RationalQuadratic,Zero
simulations5,Species 1,270.47103407903984,RationalQuadratic,Zero
simulations5,Species 2,373.39476672370694,RationalQuadratic,Zero
simulations5,Species 3,167.82564169063383,RationalQuadratic,Zero
simulations6,Species 1,560.8981433841637,Matern32,Zero
simulations6,Species 2,465.33814550911626,Matern32,Zero
simulations6,Species 3,294.5586183414661,RationalQuadratic,Zero
simulations7,Species 1,318.28114598220947,RationalQuadratic,Zero
simulations7,Species 2,755.7376156293316,Matern52,Zero
simulations7,Species 3,761.1560679178632,RationalQuadratic,Zero
simulations8,Species 1,542.0596753405574,RationalQuadratic,Zero
simulations8,Species 2,510.70006327867645,RationalQuadratic,Zero
simulations8,Species 3,435.90438055230305,RationalQuadratic,Zero
simulations9,Species 1,730.0040530358327,RationalQuadratic,Zero
simulations9,Species 2,567.2902234226425,RationalQuadratic,Zero
simulations9,Species 3,542.9037356504175,RationalQuadratic,Zero
